plant_id,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source
26482,0,0,0,0,0,0,0.313,U.S. Energy Information Administration
26483,131.456,84.772,119.387,85,57.314,47.86,153.782,U.S. Energy Information Administration
26484,0,1.326,3.013,3.055,2.844,2.624,2.855,U.S. Energy Information Administration
26485,654.423,518.487,899.121,907.543,843.904,881.892,669.989,U.S. Energy Information Administration
26486,-0.078,-0.078,-0.118,-0.069,-0.111,-0.118,-0.122,U.S. Energy Information Administration
26487,18.081,16.153,13.814,13.33,17.762,15.316,16.192,U.S. Energy Information Administration
26488,0,0,0,0,0,0,8.90722,U.S. Energy Information Administration
26489,0,0,0,0,9.257,16.33,17.771,U.S. Energy Information Administration
26490,0,0.075,2.716,2.686,2.389,2.279,2.479,U.S. Energy Information Administration
26491,0,0,2.8,2.848,2.099,2.308,2.535,U.S. Energy Information Administration
26492,2.736,0.548,0.486,13.889,6.323,9.172,3.141,U.S. Energy Information Administration
26493,0,0,0,0,0,0,4810.980033,U.S. Energy Information Administration
26494,0,0,0,0,-1.167,-0.808,-0.263,U.S. Energy Information Administration
26495,325.29,8.074,229.724,210.339,176.351,304.469,283.036,U.S. Energy Information Administration
26496,0,0,3.273,129.55,100.97,83.311,78.859,U.S. Energy Information Administration
26497,0,0,0,0,0,1965.57,5987.495,U.S. Energy Information Administration
26498,0,8.19084,8.18104,9.73826,11.645,11.413,11.906,U.S. Energy Information Administration
26499,0,0,0,0,0,0,0.319,U.S. Energy Information Administration
26500,12.313,16.963,15.695,16.538,16.514,17.281,17.272,U.S. Energy Information Administration
26501,0,0,0,0,0,0,0,
26502,0,0,0,2.167,21.989,27.238,23.755,U.S. Energy Information Administration
26503,37.778,41.246,31.575,40.459,49.392,40.494,26.356,U.S. Energy Information Administration
26504,39.381,44.892,32.142,45.439,67.719,36.927,35.821,U.S. Energy Information Administration
26505,120.204,119.227,109.626,99.202,93.055,114.545,114.107,U.S. Energy Information Administration
26506,419.418005,379.869002,404.886998,416.910999,346.613004,368.461999,412.951999,U.S. Energy Information Administration
26507,22.348,17.583,15.139,23.508,25.908,14.932,8.25276,U.S. Energy Information Administration
26508,80.403,139.723999,168.174996,77.666,57.677,76.897,33.589,U.S. Energy Information Administration
26509,0,16.106,8.488,4.361,10.395,10.544,10.725,U.S. Energy Information Administration
26510,279.547003,736.583002,1022.786042,799.482002,859.068,771.683001,981.694996,U.S. Energy Information Administration
26511,0.023,0.03,0.366,0.318,0.438,0.707,0.304,U.S. Energy Information Administration
26512,0,0,0,0,0.39382,2.89739,4.364,U.S. Energy Information Administration
26513,233.237998,226.630005,235.425998,241.680005,240.890004,255.089999,239.585998,U.S. Energy Information Administration
26514,0,0,0,0,0,0,1.436,U.S. Energy Information Administration
26515,7.44,2.26,2.371,3.66,2.682,8.063,5.103,U.S. Energy Information Administration
26516,4.613,4.894,3.825,3.243,2.881,4.716,5.034,U.S. Energy Information Administration
26517,5610.367028,6062.462992,5225.153966,5030.848031,6037.634951,6369.305046,5722.97904,U.S. Energy Information Administration
26518,898.073003,729.194,461.976997,0,0,0,338.987,U.S. Energy Information Administration
26519,0,0,0,0,3.138,8.338,8.528,U.S. Energy Information Administration
26520,0,0,0,-0.113,-2.019,-1.33,-0.615,U.S. Energy Information Administration
26521,0,0,19.44,21.683,20.747,20.29,20.227,U.S. Energy Information Administration
26522,42.091,39.57,35.862,33.896,38.077,28.857,37.071,U.S. Energy Information Administration
26523,8195.548,9071.711,8663.837,8914.453,8348.336,8346.686,8363.289,U.S. Energy Information Administration
26524,0,0,0,0,0.774,9.45,9.888,U.S. Energy Information Administration
26525,628.885,651.906,574.616,579.953,610.894,568.456,547.94,U.S. Energy Information Administration
26526,5919.319013,5678.306037,5484.916016,5444.917019,3266.582044,2917.180009,1281.310009,U.S. Energy Information Administration
26527,0,0,0,0,0,0,1.321,U.S. Energy Information Administration
26528,0,1.342,2.87,2.245,2.513,2.62,2.053,U.S. Energy Information Administration
26529,0,0,0,2.887,5.054,5.06,4.349,U.S. Energy Information Administration
26530,0,0,0,0,0,0,0,U.S. Energy Information Administration
26531,0,0,0,0,0,0,0,U.S. Energy Information Administration
26532,0,0,1.686,3.754,3.727,3.441,3.708,U.S. Energy Information Administration
26533,0,0,0,0,3.005,37.533,38.07,U.S. Energy Information Administration
26534,1.034,0.016,0.414,0.91,2.072,2.79,5.023,U.S. Energy Information Administration
26535,0,0,0,0,0,0,8192.593007,U.S. Energy Information Administration
26536,62.451,58.956,64.946,73.836,74.815,71.419,69.003,U.S. Energy Information Administration
26537,0,0,0,0,0,0,0,
26538,253.056,277.827,288.997,256.666,0,0,0,U.S. Energy Information Administration
26539,53.073,54.888,54.588,51.62,53.888,48.672,49.604,U.S. Energy Information Administration
26540,11.914,16.27,12.866,14.164,0,12.921,11.878,U.S. Energy Information Administration
26541,0,0,0,5.669,10.062,9.644,9.781,U.S. Energy Information Administration
26542,21.77,19.131,18.696,11.527,10.651,29.158,21.064,U.S. Energy Information Administration
26543,6.13107,6.557,5.296,0.003,3.256,1.566,0.397,U.S. Energy Information Administration
26544,229.223,244.51,260.568,234.165,288.168,326.28,326.084,U.S. Energy Information Administration
26545,0,14.232,19.967,39.563,16.298,19.02,37.046,U.S. Energy Information Administration
26546,42.358,42.338,43.86,44.801,44.008,41.883,41.398,U.S. Energy Information Administration
26547,57.545,47.69005,51.17041,54.33843,55.28321,56.08928,55.89043,U.S. Energy Information Administration
26548,33.301,34.03827,34.3671,36.81635,36.49528,35.41276,41.39766,U.S. Energy Information Administration
26549,0,0.501,0,2.1,1.403,1.92,2.094,U.S. Energy Information Administration
26550,65.592,63.654,58.855,63.848,59.245,59.148,54.831,U.S. Energy Information Administration
26551,0,0,0.002,0.046,0.018,0.033,0.05586,U.S. Energy Information Administration
26552,4.87872,5.191,5.161,5.181,4.791,4.831,4.059,U.S. Energy Information Administration
26553,0,0,0,0,0,0,1.542,U.S. Energy Information Administration
26554,0,0,0,3.047,10.16,9.519,9.601,U.S. Energy Information Administration
26555,169.541,181.942,184.354,182.377,187.133,171.356,135.139,U.S. Energy Information Administration
26556,1.546,1.867,0.448,0.37,0.801,1.123,0.316,U.S. Energy Information Administration
26557,0,0,0,558.408,838.357,884.986,843.756,U.S. Energy Information Administration
26558,3218.769965,3594.781031,2690.553993,0,0,0,1.67,U.S. Energy Information Administration
26559,0,0,0,0,0,0,0.079,U.S. Energy Information Administration
26560,0.04116,0.058,0.033,0.679,0.076,0.037,0.086,U.S. Energy Information Administration
26561,0.167,0.078,0.332,0.363,1.009,0.169,0.091,U.S. Energy Information Administration
26562,5.553,12.037,9.755,10.412,10.773,10.462,11.923,U.S. Energy Information Administration
26563,0,0,0,0,3.438,3.23,3.394,U.S. Energy Information Administration
26564,48.986,53.793,44.365,53.616,46.579,47.798,50.137,U.S. Energy Information Administration
26565,0,0,2.785,9.599,5.332,5.839,5.365,U.S. Energy Information Administration
26566,4.61,4.869,5.724,5.234,0,0,0,U.S. Energy Information Administration
26567,39.844,35.544,26.894,47.515,59.049,45.303,41.183,U.S. Energy Information Administration
26568,4693.798959,5172.880025,3211.787018,3123.723959,3900.563033,3850.242029,3225.780008,U.S. Energy Information Administration
26569,-0.199,0.071,-0.191,0.575,-0.141,-0.036,0.68,U.S. Energy Information Administration
26570,904.94,538.803,462.425,1052.713,1699.955,1090.613,1638.632,U.S. Energy Information Administration
26571,0,0,0,0,0,4.983,187.688,U.S. Energy Information Administration
26572,32.368,29.019,35.218,30.214,29.286,27.229,37.093,U.S. Energy Information Administration
26573,0.115,4.785,4.22,4.688,4.45,3.887,3.963,U.S. Energy Information Administration
26574,210.523,177.673,143.402,460.788,1032.362,365.578,907.657,U.S. Energy Information Administration
26575,5.36,5.508,4.085,3.262,4.858,4.811,4.793,U.S. Energy Information Administration
26576,42.182,22.654,0,0,0,0,12.735,U.S. Energy Information Administration
26577,0.099,0.087,0.442,0,0,0,0.002,U.S. Energy Information Administration
26578,3.735,4.406,2.924,2.978,2.978,2.665,3.28,U.S. Energy Information Administration
26579,0,0,0.085,2.188,1.761,1.542,2.031,U.S. Energy Information Administration
26580,0,0,0,0,0,0,1.07,U.S. Energy Information Administration
26581,0,0,0,0,0,0,3.933,U.S. Energy Information Administration
26582,0,0,0,0,0,0,6.451,U.S. Energy Information Administration
26583,31.46,37.019,35.054,34.902,35.36,34.524,25.901,U.S. Energy Information Administration
26584,1738.089,1592.158,1563.392,2243.512,2165.276,1759.466,2110.465,U.S. Energy Information Administration
26585,0,0,0,0,3120.379,4510.963,6104.477,U.S. Energy Information Administration
26586,184.730986,177.468245,172.430512,173.411937,0,0,161.25646,U.S. Energy Information Administration
26587,440.549,400.799,377.632,506.052,219.729,305.678,416.148,U.S. Energy Information Administration
26588,294.546,365.098,340.424,378.519,358.972,368.03,346.432,U.S. Energy Information Administration
26589,12737.86298,13729.87908,14844.27501,13358.65566,13337.9943,12656.68242,13407.68167,U.S. Energy Information Administration
26590,326.416996,309.480005,313.713997,313.012996,189.923996,327.552005,301.047998,U.S. Energy Information Administration
26591,216.268,189.932,179.157,173.416,225.661,173.965,195.677,U.S. Energy Information Administration
26592,0,0,0,0,0,2.026,3.335,U.S. Energy Information Administration
26593,0,0,2.412,4.94,4.451,4.276,4.561,U.S. Energy Information Administration
26594,0,0,1.614,2.108,1.997,1.788,1.903,U.S. Energy Information Administration
26595,0,0,0,0,0,0,36.556,U.S. Energy Information Administration
26596,7238.409967,4939.935042,4859.658041,0,6509.344017,6641.670035,5366.562986,U.S. Energy Information Administration
26597,0,0,0,0,0,0,2.896,U.S. Energy Information Administration
26598,3.968,40.074,23.777,0,0,0,0,U.S. Energy Information Administration
26599,29.017,6.487,11.005,2.729,8.108,7.817,6.856,U.S. Energy Information Administration
