plant_id,name,gppd_idnr,capacity_mw,fuel_id,commissioning_year,wepp_id,,owner,source,geolocation_source,year_of_capacity_data
492,Hallet 5 - The Bluff,AUS0000454,52.5,#N/A,,1077096,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
493,Hallett,AUS0000250,228.3,4,,1055702,,TRUenergy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
494,Hallett 1 Brown Hill Wind Farm,AUS0000453,94.5,#N/A,,1062649,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
495,Hallett 2 Hallet Hill Wind Farm,AUS0000455,71.4,#N/A,,1071423,,ANZ Energy Infrastructure Trust,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
496,Halls Creek,AUS0000368,3.69,4,,1030198,,Energy Developments Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
497,Hamilton Solar Farm,AUS0000530,69,11,,,,Edify Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
498,Haughton River Solar Farm,AUS0000592,500,11,,,,SPIC,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
499,Hayman Solar Farm,AUS0000532,180,11,,,,Edify Energy Blackrock,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
500,Hazelwood,AUS0000087,1600,1,,1018219,,Hazelwood Power,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
501,Henderson,AUS0000355,3.2,13,,,,Waste Gas Resources,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
502,Highbury,AUS0000343,2,13,,1016475,,EDL LFG SA Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
503,Hobart,AUS0000419,1,13,,1061561,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
504,Hopetoun Diesel Backup,AUS0000412,1.3,8,,1030199,,Verve Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
505,Hopetoun Wind Turbines,AUS0000413,1.2,#N/A,,,,Verve Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
506,Hughendon,WKS0069764,20,11,,,,,Wiki-Solar,Wiki-Solar,
507,Hume,AUS0000076,70,6,,1014205,,Eraring Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
